match_id,league,date,matchday,team_home,team_away,stadium,capacity,home_city,away_city,home_station,home_lat,home_lon,away_station,away_lat,away_lon
77256,bl1,2025-08-22T20:30:00,1. Spieltag,FC Bayern München,RB Leipzig,Allianz Arena,75000,München,Leipzig,München Hauptbahnhof,48.1407253,11.5569426,Leipzig Hauptbahnhof,51.3465518,12.3830858
77257,bl1,2025-08-23T15:30:00,1. Spieltag,Bayer 04 Leverkusen,TSG Hoffenheim,BayArena,30210,Leverkusen,Sinsheim,Leverkusen (Zentrum),51.0324743,6.9881194,Sinsheim Hauptbahnhof,49.2501683,8.8754995
77258,bl1,2025-08-23T15:30:00,1. Spieltag,Eintracht Frankfurt,SV Werder Bremen,Deutsche Bank Park,59500,Frankfurt (Main),Bremen,Frankfurt (Main) Hauptbahnhof,50.1066539,8.6625808,Bremen Hauptbahnhof,53.0831456,8.8135421
77259,bl1,2025-08-23T15:30:00,1. Spieltag,SC Freiburg,FC Augsburg,Europa-Park Stadion,34700,Freiburg,Augsburg,Freiburg Hauptbahnhof,47.9982505,7.8423399,Augsburg Hauptbahnhof,48.365595,10.8863551
77262,bl1,2025-08-23T15:30:00,1. Spieltag,1. FC Union Berlin,VfB Stuttgart,Stadion An der Alten Försterei,22012,Berlin,Stuttgart,Berlin Hauptbahnhof,52.5249451,13.3696614,Stuttgart Hauptbahnhof,48.7842663,9.1821173
77264,bl1,2025-08-23T15:30:00,1. Spieltag,1. FC Heidenheim 1846,VfL Wolfsburg,Voith-Arena,15000,Heidenheim,Wolfsburg,Heidenheim (Zentrum),48.6767637,10.152923,Wolfsburg Hauptbahnhof,52.4291611,10.7878068
77263,bl1,2025-08-23T18:30:00,1. Spieltag,FC St. Pauli,Borussia Dortmund,Millerntor-Stadion,29546,Hamburg,Dortmund,Hamburg Hauptbahnhof,53.5531993,10.0064364,Dortmund Hauptbahnhof,51.5169394,7.460503
77260,bl1,2025-08-24T15:30:00,1. Spieltag,1. FSV Mainz 05,1. FC Köln,Mewa Arena,33305,Mainz,Köln,Mainz Hauptbahnhof,50.001113,8.258723,Köln Hauptbahnhof,50.9427839,6.9590705
77261,bl1,2025-08-24T17:30:00,1. Spieltag,Borussia Mönchengladbach,Hamburger SV,Stadion im Borussia-Park,54042,Mönchengladbach,Hamburg,Mönchengladbach Hauptbahnhof,51.1632203,6.4396694,Hamburg Hauptbahnhof,53.5531993,10.0064364
77273,bl1,2025-08-29T20:30:00,2. Spieltag,Hamburger SV,FC St. Pauli,Volksparkstadion,57000,Hamburg,Hamburg,Hamburg Hauptbahnhof,53.5531993,10.0064364,Hamburg Hauptbahnhof,53.5531993,10.0064364
77266,bl1,2025-08-30T15:30:00,2. Spieltag,RB Leipzig,1. FC Heidenheim 1846,Red Bull Arena,47069,Leipzig,Heidenheim,Leipzig Hauptbahnhof,51.3465518,12.3830858,Heidenheim (Zentrum),48.6767637,10.152923
77267,bl1,2025-08-30T15:30:00,2. Spieltag,SV Werder Bremen,Bayer 04 Leverkusen,Weserstadion,42100,Bremen,Leverkusen,Bremen Hauptbahnhof,53.0831456,8.8135421,Leverkusen (Zentrum),51.0324743,6.9881194
77268,bl1,2025-08-30T15:30:00,2. Spieltag,VfB Stuttgart,Borussia Mönchengladbach,MHPArena Stuttgart,60449,Stuttgart,Mönchengladbach,Stuttgart Hauptbahnhof,48.7842663,9.1821173,Mönchengladbach Hauptbahnhof,51.1632203,6.4396694
77271,bl1,2025-08-30T15:30:00,2. Spieltag,TSG Hoffenheim,Eintracht Frankfurt,PreZero Arena,30150,Sinsheim,Frankfurt (Main),Sinsheim Hauptbahnhof,49.2501683,8.8754995,Frankfurt (Main) Hauptbahnhof,50.1066539,8.6625808
77270,bl1,2025-08-30T18:30:00,2. Spieltag,FC Augsburg,FC Bayern München,WWK ARENA,30660,Augsburg,München,Augsburg Hauptbahnhof,48.365595,10.8863551,München Hauptbahnhof,48.1407253,11.5569426
77269,bl1,2025-08-31T15:30:00,2. Spieltag,VfL Wolfsburg,1. FSV Mainz 05,Volkswagen Arena,28917,Wolfsburg,Mainz,Wolfsburg Hauptbahnhof,52.4291611,10.7878068,Mainz Hauptbahnhof,50.001113,8.258723
77265,bl1,2025-08-31T17:30:00,2. Spieltag,Borussia Dortmund,1. FC Union Berlin,SIGNAL IDUNA PARK,81365,Dortmund,Berlin,Dortmund Hauptbahnhof,51.5169394,7.460503,Berlin Hauptbahnhof,52.5249451,13.3696614
77272,bl1,2025-08-31T19:30:00,2. Spieltag,1. FC Köln,SC Freiburg,RheinEnergieSTADION,50000,Köln,Freiburg,Köln Hauptbahnhof,50.9427839,6.9590705,Freiburg Hauptbahnhof,47.9982505,7.8423399
77275,bl1,2025-09-12T20:30:00,3. Spieltag,Bayer 04 Leverkusen,Eintracht Frankfurt,BayArena,30210,Leverkusen,Frankfurt (Main),Leverkusen (Zentrum),51.0324743,6.9881194,Frankfurt (Main) Hauptbahnhof,50.1066539,8.6625808
77276,bl1,2025-09-13T15:30:00,3. Spieltag,SC Freiburg,VfB Stuttgart,Europa-Park Stadion,34700,Freiburg,Stuttgart,Freiburg Hauptbahnhof,47.9982505,7.8423399,Stuttgart Hauptbahnhof,48.7842663,9.1821173
77277,bl1,2025-09-13T15:30:00,3. Spieltag,1. FSV Mainz 05,RB Leipzig,Mewa Arena,33305,Mainz,Leipzig,Mainz Hauptbahnhof,50.001113,8.258723,Leipzig Hauptbahnhof,51.3465518,12.3830858
77279,bl1,2025-09-13T15:30:00,3. Spieltag,VfL Wolfsburg,1. FC Köln,Volkswagen Arena,28917,Wolfsburg,Köln,Wolfsburg Hauptbahnhof,52.4291611,10.7878068,Köln Hauptbahnhof,50.9427839,6.9590705
77280,bl1,2025-09-13T15:30:00,3. Spieltag,1. FC Union Berlin,TSG Hoffenheim,Stadion An der Alten Försterei,22012,Berlin,Sinsheim,Berlin Hauptbahnhof,52.5249451,13.3696614,Sinsheim Hauptbahnhof,49.2501683,8.8754995
77282,bl1,2025-09-13T15:30:00,3. Spieltag,1. FC Heidenheim 1846,Borussia Dortmund,Voith-Arena,15000,Heidenheim,Dortmund,Heidenheim (Zentrum),48.6767637,10.152923,Dortmund Hauptbahnhof,51.5169394,7.460503
77274,bl1,2025-09-13T18:30:00,3. Spieltag,FC Bayern München,Hamburger SV,Allianz Arena,75000,München,Hamburg,München Hauptbahnhof,48.1407253,11.5569426,Hamburg Hauptbahnhof,53.5531993,10.0064364
77281,bl1,2025-09-14T15:30:00,3. Spieltag,FC St. Pauli,FC Augsburg,Millerntor-Stadion,29546,Hamburg,Augsburg,Hamburg Hauptbahnhof,53.5531993,10.0064364,Augsburg Hauptbahnhof,48.365595,10.8863551
